ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Has a mobile phone,Has a work phone,Has a phone,Has an email,Family member count,Is high risk,Employment_status_encoded,Education_level_encoded,Marital_status_encoded,Dwelling_encoded
5091261,0,0,1,0,202500.0,State servant,Secondary / secondary special,Separated,House / apartment,1,0,0,0,1,0,1,1,1,1
5096963,1,1,0,0,675000.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,2,0,2,2,2,1
5087880,0,0,0,0,234000.0,State servant,Higher education,Civil marriage,House / apartment,1,0,0,1,2,0,1,2,3,1
5021949,0,1,1,0,445500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,2,0,2,2,2,1
5105705,0,1,0,0,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,2,0,3,1,2,2
5029195,0,0,1,0,94500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5051050,1,1,0,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5061569,0,0,0,0,189000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,2,0,3,1,2,2
5091430,0,0,1,0,225000.0,Working,Higher education,Married,House / apartment,1,1,1,0,2,0,3,2,2,1
5095937,1,0,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,0,3,1,2,1
5021779,0,0,1,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,0,2,0,2,2,3,1
5139986,0,1,1,0,405000.0,Working,Incomplete higher,Civil marriage,House / apartment,1,1,0,0,2,0,3,3,3,1
5105263,1,0,1,0,180000.0,Working,Incomplete higher,Single / not married,House / apartment,1,0,0,1,1,0,3,3,4,1
5038825,1,1,0,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,3,0,3,1,2,1
5023540,0,0,1,0,90000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,2,0,1,1,3,1
5115460,1,0,0,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,1,0,0,2,0,2,2,3,1
5069130,0,0,0,0,135000.0,Commercial associate,Higher education,Married,With parents,1,0,0,1,2,0,2,2,2,3
5038812,1,1,1,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,1,1,1,0,2,0,2,1,2,2
5136991,1,0,0,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,1,0,3,1,4,1
5028534,0,0,1,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5095170,1,1,1,0,252000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,2,0,2,2,2,1
5010965,0,0,0,0,256500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,2,0,2,2,2,1
5026054,1,1,1,1,315000.0,Working,Higher education,Married,House / apartment,1,0,0,0,3,0,3,2,2,1
5028418,0,1,1,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,1,2,0,3,1,2,1
5052618,1,1,1,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,1,0,3,1,4,1
